REPORTE CONTRASTE DE AVALUOS:

Total registros en Excel: 789
Total registros en XML: 789
Registros en ambas fuentes: 789
Registros solo en Excel: 0 ()
Registros solo en XML: 0 ()
Diferencias en avalúo (en registros comunes con diferencia): 38
Número Predial: 254360100000000150044000000000 - Diferencia: 0.0046262593405970165
Número Predial: 254360100000000140085000000000 - Diferencia: 0.0002681800519290789
Número Predial: 254360100000000140012000000000 - Diferencia: 0.0017511742680085263
Número Predial: 254360100000000150035000000000 - Diferencia: 0.004999999426495094
Número Predial: 254360100000000080006000000000 - Diferencia: 0.0018139480749823633
Número Predial: 254360100000000070017000000000 - Diferencia: 0.0009923606190227474
Número Predial: 254360100000000110018000000000 - Diferencia: 0.004363943225996536
Número Predial: 254360100000000260004000000000 - Diferencia: 0.0002703963849910451
Número Predial: 254360100000000140028000000000 - Diferencia: 0.0018408365709774444
Número Predial: 254360100000000140017000000000 - Diferencia: 0.0024122329109843577
Número Predial: 254360100000000200032000000000 - Diferencia: 0.004695371873992826
Número Predial: 254360100000000140035000000000 - Diferencia: 0.004914823276976676
Número Predial: 254360100000000190003000000000 - Diferencia: 0.002956139748022224
Número Predial: 254360100000000110003000000000 - Diferencia: 0.0014120827216999032
Número Predial: 254360100000000150006000000000 - Diferencia: 0.003185320018701532
Número Predial: 254360100000000260020000000000 - Diferencia: 0.0001563900690086939
Número Predial: 254360100000000150007200000000 - Diferencia: 0.00036087874519807883
Número Predial: 254360100000000200005000000000 - Diferencia: 0.0011936466509894217
Número Predial: 254360100000000060047000000000 - Diferencia: 0.0038487726059770466
Número Predial: 254360100000000160016000000000 - Diferencia: 0.0013947506309932578
Número Predial: 254360100000000190013200000000 - Diferencia: 0.004575281133099907
Número Predial: 254360100000000260016000000000 - Diferencia: 0.00015015844300592107
Número Predial: 254360100000000130003000000000 - Diferencia: 0.0039923498899838705
Número Predial: 254360100000000260014000000000 - Diferencia: 0.0004768056909938423
Número Predial: 254360100000000100003000000000 - Diferencia: 0.004394143888404756
Número Predial: 254360100000000090013000000000 - Diferencia: 0.004188344701987035
Número Predial: 254360100000000200016200000000 - Diferencia: 0.0030387404840013232
Número Predial: 254360100000000050015000000000 - Diferencia: 0.003997279243009189
Número Predial: 254360100000000020010000000000 - Diferencia: 0.004016385284046464
Número Predial: 254360100000000260018000000000 - Diferencia: 0.0002972563630123659
Número Predial: 254360100000000230059000000000 - Diferencia: 0.0029197897350172752
Número Predial: 254360100000000020070000000000 - Diferencia: 0.0028510221675048797
Número Predial: 254360100000000110017000000000 - Diferencia: 0.0031460696739884497
Número Predial: 254360100000000030006200000000 - Diferencia: 0.003540510771401273
Número Predial: 254360100000000190006200000000 - Diferencia: 0.004473013870509135
Número Predial: 254360100000000060045200000000 - Diferencia: 0.0027440178769921886
Número Predial: 254360100000000210801800000025 - Diferencia: 0.004190320850000262
Número Predial: 254360100000000030003200000000 - Diferencia: 0.003159636973009583
